,theory_of_mind,Run,Regular average,Regular times,Time steps,ToM average,ToM times,N,width,height,panic_dynamic,save_plots
17,3,17,27.058823529411764,"[14, 15, 17, 19, 19, 21, 24, 26, 28, 28, 30, 32, 34, 34, 37, 39, 43]",44,26.333333333333332,"[17, 21, 41]",20,500,500,"[2, 7]",False
18,3,18,19.11764705882353,"[13, 15, 15, 15, 17, 18, 18, 19, 19, 20, 20, 21, 22, 22, 23, 23, 25]",26,21.666666666666668,"[17, 24, 24]",20,500,500,"[2, 7]",False
19,3,19,20.352941176470587,"[14, 14, 14, 16, 18, 18, 19, 20, 20, 21, 22, 23, 23, 25, 25, 27, 27]",28,20.333333333333332,"[16, 20, 25]",20,500,500,"[2, 7]",False
20,4,20,19.8125,"[13, 13, 15, 16, 17, 17, 19, 20, 21, 21, 22, 22, 23, 24, 26, 28]",29,19.75,"[16, 18, 20, 25]",20,500,500,"[2, 7]",False
21,4,21,18.625,"[13, 13, 14, 15, 15, 15, 17, 19, 19, 21, 21, 22, 22, 23, 24, 25]",26,17.5,"[16, 17, 18, 19]",20,500,500,"[2, 7]",False
22,4,22,19.4375,"[14, 15, 16, 16, 17, 18, 19, 19, 20, 20, 21, 22, 23, 23, 23, 25]",26,19.5,"[14, 15, 24, 25]",20,500,500,"[2, 7]",False
23,4,23,22.8125,"[13, 14, 15, 17, 18, 19, 20, 20, 22, 22, 22, 27, 31, 33, 35, 37]",40,22.25,"[16, 16, 18, 39]",20,500,500,"[2, 7]",False
24,4,24,19.125,"[14, 14, 15, 15, 16, 16, 17, 17, 18, 20, 21, 21, 23, 23, 27, 29]",30,22.5,"[20, 22, 23, 25]",20,500,500,"[2, 7]",False
25,5,25,17.866666666666667,"[13, 14, 14, 15, 16, 16, 17, 18, 18, 19, 20, 20, 21, 22, 25]",27,21.4,"[16, 20, 22, 23, 26]",20,500,500,"[2, 7]",False
26,5,26,19.066666666666666,"[13, 14, 15, 16, 17, 17, 18, 19, 19, 20, 21, 22, 23, 25, 27]",28,17.6,"[14, 15, 17, 21, 21]",20,500,500,"[2, 7]",False
27,5,27,22.0,"[14, 14, 15, 16, 16, 17, 21, 22, 24, 24, 25, 26, 30, 32, 34]",35,22.0,"[13, 19, 22, 28, 28]",20,500,500,"[2, 7]",False
28,5,28,19.933333333333334,"[15, 15, 15, 15, 17, 17, 19, 20, 21, 21, 21, 22, 25, 27, 29]",30,21.2,"[17, 19, 23, 23, 24]",20,500,500,"[2, 7]",False
29,5,29,19.466666666666665,"[13, 14, 16, 16, 16, 18, 18, 19, 20, 21, 23, 23, 24, 25, 26]",29,19.0,"[14, 15, 17, 21, 28]",20,500,500,"[2, 7]",False
30,6,30,20.071428571428573,"[14, 16, 17, 17, 18, 19, 19, 19, 20, 21, 21, 24, 27, 29]",32,23.5,"[15, 22, 23, 25, 25, 31]",20,500,500,"[2, 7]",False
31,6,31,20.571428571428573,"[13, 15, 16, 16, 17, 18, 19, 19, 21, 22, 23, 25, 30, 34]",35,21.5,"[14, 15, 17, 23, 28, 32]",20,500,500,"[2, 7]",False
32,6,32,19.142857142857142,"[14, 14, 15, 16, 17, 18, 18, 19, 21, 22, 22, 24, 24, 24]",29,21.333333333333332,"[16, 18, 20, 20, 26, 28]",20,500,500,"[2, 7]",False
33,6,33,20.357142857142858,"[14, 15, 15, 16, 17, 18, 21, 21, 21, 23, 23, 25, 27, 29]",31,24.0,"[17, 19, 24, 26, 28, 30]",20,500,500,"[2, 7]",False
34,6,34,30.571428571428573,"[14, 15, 16, 16, 18, 18, 20, 20, 20, 45, 51, 55, 57, 63]",64,36.666666666666664,"[14, 17, 22, 47, 59, 61]",20,500,500,"[2, 7]",False
35,7,35,20.76923076923077,"[13, 17, 17, 19, 19, 19, 21, 22, 22, 23, 25, 26, 27]",28,18.571428571428573,"[14, 14, 17, 17, 20, 24, 24]",20,500,500,"[2, 7]",False
36,7,36,18.384615384615383,"[14, 14, 14, 15, 16, 17, 19, 19, 20, 21, 21, 24, 25]",28,20.714285714285715,"[17, 17, 18, 21, 22, 23, 27]",20,500,500,"[2, 7]",False
37,7,37,22.46153846153846,"[15, 16, 17, 17, 19, 21, 23, 25, 25, 27, 27, 29, 31]",34,22.714285714285715,"[15, 15, 18, 24, 26, 28, 33]",20,500,500,"[2, 7]",False
38,7,38,19.923076923076923,"[15, 15, 16, 17, 18, 20, 20, 21, 22, 22, 23, 25, 25]",28,19.857142857142858,"[14, 17, 18, 19, 21, 23, 27]",20,500,500,"[2, 7]",False
39,7,39,20.0,"[15, 17, 17, 17, 18, 20, 20, 20, 20, 22, 22, 24, 28]",29,19.857142857142858,"[14, 15, 16, 22, 22, 24, 26]",20,500,500,"[2, 7]",False
40,8,40,22.0,"[15, 17, 17, 18, 18, 21, 22, 23, 26, 27, 29, 31]",32,20.0,"[15, 16, 19, 19, 20, 22, 24, 25]",20,500,500,"[2, 7]",False
41,8,41,19.916666666666668,"[14, 15, 15, 17, 18, 20, 20, 22, 22, 22, 25, 29]",30,21.75,"[17, 18, 19, 20, 23, 24, 26, 27]",20,500,500,"[2, 7]",False
42,8,42,19.583333333333332,"[14, 15, 16, 17, 18, 18, 19, 20, 21, 21, 26, 30]",33,24.25,"[19, 21, 23, 23, 23, 25, 28, 32]",20,500,500,"[2, 7]",False
43,8,43,18.666666666666668,"[15, 16, 16, 16, 17, 18, 18, 19, 20, 21, 23, 25]",30,22.25,"[14, 14, 18, 23, 25, 27, 28, 29]",20,500,500,"[2, 7]",False
44,8,44,20.0,"[14, 15, 15, 17, 18, 19, 21, 21, 23, 25, 25, 27]",28,21.625,"[15, 17, 21, 21, 23, 23, 26, 27]",20,500,500,"[2, 7]",False
45,9,45,21.09090909090909,"[13, 16, 17, 18, 19, 20, 21, 22, 24, 30, 32]",35,19.555555555555557,"[13, 14, 15, 17, 17, 19, 19, 28, 34]",20,500,500,"[2, 7]",False
46,9,46,21.363636363636363,"[14, 15, 20, 20, 20, 22, 24, 24, 24, 26, 26]",29,20.444444444444443,"[16, 16, 17, 18, 20, 22, 22, 25, 28]",20,500,500,"[2, 7]",False
47,9,47,21.363636363636363,"[13, 14, 16, 20, 21, 21, 23, 25, 26, 27, 29]",30,20.22222222222222,"[16, 16, 18, 18, 18, 21, 23, 25, 27]",20,500,500,"[2, 7]",False
48,9,48,26.272727272727273,"[16, 17, 17, 18, 21, 22, 26, 30, 38, 41, 43]",48,30.11111111111111,"[15, 20, 24, 26, 28, 32, 34, 45, 47]",20,500,500,"[2, 7]",False
49,9,49,19.272727272727273,"[14, 16, 16, 18, 18, 19, 20, 21, 23, 23, 24]",29,19.666666666666668,"[14, 15, 16, 17, 18, 21, 22, 26, 28]",20,500,500,"[2, 7]",False
50,10,50,18.6,"[14, 15, 15, 15, 17, 19, 21, 23, 23, 24]",32,23.0,"[16, 18, 19, 21, 21, 25, 25, 26, 28, 31]",20,500,500,"[2, 7]",False
51,10,51,20.4,"[14, 16, 16, 17, 20, 21, 22, 24, 26, 28]",29,19.0,"[14, 15, 16, 18, 18, 19, 20, 22, 23, 25]",20,500,500,"[2, 7]",False
52,10,52,19.8,"[14, 15, 17, 18, 19, 19, 20, 23, 25, 28]",29,20.3,"[14, 16, 17, 18, 21, 21, 23, 23, 24, 26]",20,500,500,"[2, 7]",False
53,10,53,18.2,"[15, 15, 15, 17, 17, 18, 18, 19, 22, 26]",30,22.5,"[15, 19, 20, 22, 22, 22, 24, 25, 27, 29]",20,500,500,"[2, 7]",False
54,10,54,18.8,"[14, 14, 16, 16, 17, 17, 18, 20, 27, 29]",32,21.8,"[15, 15, 18, 19, 20, 21, 22, 27, 30, 31]",20,500,500,"[2, 7]",False
55,11,55,20.88888888888889,"[18, 18, 19, 20, 21, 22, 22, 23, 25]",28,19.0,"[14, 14, 16, 16, 16, 18, 20, 21, 23, 24, 27]",20,500,500,"[2, 7]",False
56,11,56,19.88888888888889,"[14, 15, 19, 19, 20, 21, 23, 23, 25]",26,18.818181818181817,"[14, 15, 16, 17, 17, 17, 18, 21, 22, 25, 25]",20,500,500,"[2, 7]",False
57,11,57,18.0,"[14, 15, 16, 18, 19, 19, 19, 21, 21]",24,18.454545454545453,"[13, 14, 15, 16, 17, 17, 21, 21, 23, 23, 23]",20,500,500,"[2, 7]",False
58,11,58,19.77777777777778,"[15, 17, 17, 19, 20, 20, 22, 23, 25]",28,20.454545454545453,"[14, 15, 17, 18, 19, 21, 21, 23, 24, 26, 27]",20,500,500,"[2, 7]",False
59,11,59,20.88888888888889,"[15, 15, 17, 17, 18, 24, 24, 28, 30]",31,19.636363636363637,"[13, 14, 18, 19, 19, 20, 21, 21, 22, 23, 26]",20,500,500,"[2, 7]",False
60,12,60,19.625,"[14, 16, 19, 20, 21, 21, 22, 24]",31,21.75,"[14, 16, 16, 17, 18, 18, 23, 25, 26, 28, 30, 30]",20,500,500,"[2, 7]",False
61,12,61,18.5,"[14, 16, 18, 18, 20, 20, 20, 22]",29,21.083333333333332,"[14, 15, 16, 17, 17, 21, 23, 24, 25, 26, 27, 28]",20,500,500,"[2, 7]",False
